,0
duration_sec,0.2049414101464081
caption_length,0.14582772084016785
posting_hour,0.14202748059359013
posting_day_encoded,0.07355470777773425
has_emoji,0.027330242245283447
trend_label_declining,0.021548240210689195
season_spring,0.020906452504430677
season_winter,0.020866594261463103
trend_label_seasonal,0.02060657877677512
trend_label_rising,0.02059546641760403
season_fall,0.02055247624154914
season_summer,0.02014750249813575
trend_label_stable,0.018682012781048436
is_weekend,0.016241426793602735
category_travel,0.013679540349144561
category_food,0.013447963646357064
category_science,0.013260835001529565
category_art,0.013259498426147988
category_education,0.01285999264319313
category_gaming,0.01283294151738054
category_automotive,0.012693792075570337
category_fitness,0.012662632320397339
category_beauty,0.012328777707880623
category_sports,0.012205222328723755
category_tech,0.012165420534378987
category_music,0.011975714039217905
category_comedy,0.011766919752703529
category_diy,0.011731971219261386
category_fashion,0.011574281564091503
category_news,0.011374020232183979
category_lifestyle,0.010670329454860579
category_pets,0.009636060959195933
category_finance,0.006045774139299407
has_call_to_action,0.0
