Fold,Train R²,Val R²,Generalization Gap,Status
1,0.4312,0.4028,2.8%,✓ Stable
2,0.4298,0.4156,1.4%,✓ Good
3,0.4401,0.4241,1.6%,✓ Excellent
4,0.4289,0.4083,2.1%,✓ Stable
5,0.4315,0.4102,2.1%,✓ Stable
